village_id,farm_id,crop_type,health_index,yield_estimate_to_date,crop_confidence,area_ha,quality_flag,gamma0_dB_06Jun,gamma0_dB_19Jun,gamma0_dB_14Aug,gamma0_dB_13Oct,establishment_dB,retention_dB,s2_ndvi_13Oct_validation_only
22,1,Groundnut,16.77,8.85,0.358,0.2843,ok,-20.273,-16.083,-21.27,-20.852,-5.187,0.418,0.1802
22,2,Groundnut,26.87,11.44,0.476,0.2215,ok,-19.887,-16.037,-20.717,-20.424,-4.68,0.292,0.1573
22,3,Cotton,23.0,11.07,0.018,0.5009,ok,-19.871,-16.035,-21.56,-19.151,-5.525,2.409,0.2982
22,4,Bajra,36.97,37.49,0.439,0.0336,ok,-20.418,-17.041,-18.765,-20.993,-1.724,-2.228,0.2325
22,5,Cotton,42.9,21.46,0.215,0.5675,ok,-19.883,-16.023,-20.644,-18.142,-4.621,2.502,0.2082
22,6,Groundnut,62.02,46.07,0.277,0.8379,ok,-19.21,-17.377,-19.485,-19.969,-2.109,-0.484,0.2308
22,7,Groundnut,39.41,20.64,0.409,0.1951,ok,-19.71,-17.11,-21.28,-20.075,-4.17,1.204,0.2546
22,8,Groundnut,33.15,24.96,0.449,0.8917,ok,-19.746,-17.33,-21.016,-20.408,-3.686,0.608,0.241
22,9,Rice,69.62,60.89,0.113,0.4171,ok,-20.112,-18.815,-19.153,-18.688,-0.338,0.465,0.4321
22,10,Cotton,47.02,41.79,0.201,0.386,ok,-19.23,-16.355,-19.007,-18.465,-2.652,0.542,0.3512
22,11,Groundnut,48.54,24.72,0.113,0.4431,ok,-19.867,-17.227,-19.98,-20.03,-2.753,-0.05,0.2964
22,12,Groundnut,67.83,32.39,0.121,0.5517,ok,-17.461,-16.273,-18.6,-19.567,-2.327,-0.967,0.2464
22,13,Groundnut,41.68,19.75,0.439,0.4815,ok,-20.038,-16.882,-20.74,-19.903,-3.858,0.838,0.2031
22,14,Maize,77.34,67.94,0.245,0.2897,ok,-16.476,-15.969,-15.88,-17.723,0.089,-1.843,0.2946
22,15,Cotton,51.19,48.35,0.0,0.0,no_valid_sar,,,,,,,
22,16,Cotton,51.19,48.35,0.0,0.0,no_valid_sar,,,,,,,
22,17,Cotton,51.19,48.35,0.0,0.0,no_valid_sar,,,,,,,
22,18,Cotton,51.19,48.35,0.0,0.0,no_valid_sar,,,,,,,
22,19,Cotton,51.19,48.35,0.0,0.0,no_valid_sar,,,,,,,
22,20,Groundnut,64.82,18.67,0.38,0.3876,ok,-19.286,-15.385,-18.983,-18.867,-3.598,0.116,0.308
22,21,Groundnut,43.23,5.56,0.453,0.5725,ok,-19.604,-14.365,-20.158,-19.747,-5.792,0.411,0.2341
22,22,Cotton,27.54,13.04,0.026,0.3981,ok,-18.808,-15.059,-19.446,-18.664,-4.388,0.783,0.225
22,23,Cotton,51.19,48.35,0.0,0.0,no_valid_sar,,,,,,,
22,24,Groundnut,49.34,7.65,0.429,0.2566,ok,-18.414,-14.451,-19.298,-19.576,-4.847,-0.278,0.2355
22,25,Cotton,40.15,35.26,0.282,0.102,ok,-18.858,-16.254,-19.264,-18.62,-3.01,0.644,0.2602
22,26,Groundnut,46.07,10.2,0.579,0.4838,ok,-19.218,-15.009,-19.804,-19.823,-4.795,-0.019,0.2329
22,27,Groundnut,41.79,19.69,0.505,0.5415,ok,-19.56,-16.148,-19.854,-20.172,-3.706,-0.318,0.2411
22,28,Groundnut,62.52,23.0,0.535,0.2599,ok,-18.997,-15.607,-19.01,-19.497,-3.403,-0.487,0.3509
22,29,Groundnut,25.18,15.47,0.127,0.5681,ok,-20.34,-15.97,-19.911,-20.826,-3.941,-0.915,0.163
22,30,Cotton,78.96,68.28,0.152,0.3339,ok,-16.429,-14.397,-14.015,-14.629,0.382,-0.613,0.4634
22,31,Groundnut,56.42,44.37,0.172,0.5907,ok,-20.291,-16.735,-18.274,-20.247,-1.539,-1.972,0.162
22,32,Groundnut,24.1,10.93,0.121,0.1085,ok,-18.493,-15.31,-19.702,-20.759,-4.392,-1.057,0.2068
22,33,Groundnut,59.84,9.5,0.435,0.6522,ok,-18.845,-14.212,-19.031,-18.796,-4.82,0.235,0.24
22,34,Groundnut,58.25,5.94,0.361,0.468,ok,-19.653,-14.169,-19.838,-18.804,-5.669,1.035,0.2606
22,35,Bajra,20.91,12.34,0.383,0.9923,ok,-20.054,-16.113,-20.014,-21.035,-3.9,-1.021,0.1841
